index,ChEMBL ID,Name,canonical_smiles
0,CHEMBL513856,OXENDOLONE,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O
1,CHEMBL1988272,PICOLAMINE,NCc1cccnc1
2,CHEMBL2111072,TACLAMINE,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31
3,CHEMBL2106108,BENZPYRINIUM BROMIDE,CN(C)C(=O)Oc1ccc[n+](Cc2ccccc2)c1.[Br-]
4,CHEMBL1200923,TECHNETIUM TC 99M DISOFENIN,
5,CHEMBL2110621,AMOTOSALEN,Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1COCCN
6,CHEMBL2104888,INGLIFORIB,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1C[C@@H](O)[C@@H](O)C1)c1cc2cc(Cl)ccc2[nH]1
7,CHEMBL263807,RIMAZOLIUM METILSULFATE,CCOC(=O)c1c[n+](C)c2n(c1=O)C(C)CCC2.COS(=O)(=O)[O-]
8,CHEMBL2111182,TRIMOXAMINE,C=CCC(Cc1cc(OC)c(OC)c(OC)c1)NC
9,CHEMBL1367478,LEVDOBUTAMINE,C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
10,CHEMBL2106168,BROFOXINE,CC1(C)OC(=O)Nc2ccc(Br)cc21
11,CHEMBL1742433,BUTANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1
12,CHEMBL2111138,ADATANSERIN,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2
13,CHEMBL2110913,DIFENOXIMIDE,N#CC(CCN1CCC(C(=O)ON2C(=O)CCC2=O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
14,CHEMBL5426285,"5-(6-BENZOTHIAZOLYLMETHYLENE)-3,5-DIHYDRO-2-(((1S)-1-(METHOXYMETHYL)-3-METHYLBUTYL)AMINO)-4H-IMIDAZOL-4-ONE, (5Z)-",COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1
15,CHEMBL37681,SPARFOSIC ACID,O=C(O)CC(NC(=O)CP(=O)(O)O)C(=O)O
16,CHEMBL2105306,PARVAQUONE,O=C1C(O)=C(C2CCCCC2)C(=O)c2ccccc21
17,CHEMBL2106630,DIMETHOLIZINE,COCCCN1CCN(c2ccccc2OC)CC1
